Timestamp, Focus, Enjoyment, Zone
1643578924119,68.341095,53.496067,63.887585
1643578924387,68.18155,53.355293,63.733673
1643578924642,68.03102,53.22217,63.588367
1643578924900,67.901184,53.10785,63.46318
1643578925156,67.77768,52.999004,63.344078
1643578925411,67.65977,52.894985,63.23033
1643578925673,67.57169,52.829998,63.149185
1643578925935,67.48715,52.76762,63.071293
1643578926191,67.47797,52.741997,63.057175
1643578926446,67.47003,52.717953,63.04441
1643578926702,67.590935,52.713825,63.1278
1643578926957,67.70865,52.710308,63.209145
1643578927214,67.885925,52.894604,63.388527
1643578927470,68.05862,53.074028,63.56324
1643578927725,68.05082,53.374664,63.647972
1643578927981,68.043785,53.667675,63.730953
1643578928236,68.0374,53.953465,63.812218
1643578928500,67.95616,54.237064,63.84043
1643578928762,67.87722,54.514427,63.86838
1643578929017,67.8527,54.724606,63.91427
1643578929272,67.82931,54.930084,63.95954
1643578929528,67.81074,55.116978,64.00261
1643578929784,67.79299,55.30004,64.045105
1643578930040,67.782845,55.452213,64.08366
1643578930296,67.77337,55.60115,64.121704
1643578930552,67.69177,55.718285,64.099724
1643578930808,67.611916,55.833,64.07824
1643578931065,67.53385,55.94522,64.05727
1643578931339,67.47107,56.073124,64.05168
1643578931606,67.40978,56.19814,64.04629
1643578931869,67.35638,56.283398,64.034485
1643578932132,67.30397,56.36741,64.023
1643578932388,67.38086,56.58122,64.14097
1643578932643,67.4575,56.79104,64.25755
1643578932899,67.53733,57.049057,64.39085
1643578933133,67.617004,57.29994,64.52188
1643578933391,67.73747,57.586914,64.69231
1643578933645,67.85702,57.868416,64.860435
1643578933899,67.97562,58.145996,65.02673
1643578934143,68.09517,58.40047,65.18676
1643578934391,68.21369,58.651318,65.34498
1643578934646,68.34708,58.878918,65.50663
1643578934901,68.47934,59.10271,65.66635
1643578935131,68.523895,59.22478,65.73416
1643578935382,68.56882,59.348347,65.80267
1643578935633,68.61323,59.468998,65.86996
1643578935894,68.70952,59.636345,65.987564
1643578936139,68.79371,59.81992,66.10157
1643578936387,68.898315,60.031258,66.2382
1643578936641,68.997955,60.22973,66.36749
1643578936896,69.08333,60.392822,66.47618
1643578937133,69.14718,60.535484,66.56367
1643578937382,69.16995,60.628498,66.60751
1643578937642,69.19541,60.7228,66.653625
1643578937897,69.24727,60.809105,66.71582
1643578938133,69.27997,60.775654,66.72867
1643578938380,69.32053,60.743355,66.747375
1643578938635,69.405426,60.67871,66.787415
1643578938890,69.499855,60.62018,66.83595
1643578939131,69.564384,60.5645,66.86442
1643578939378,69.629814,60.524033,66.89808
1643578939633,69.69424,60.48153,66.93042
1643578939895,69.81562,60.558163,67.03838
1643578940143,69.934906,60.63087,67.14369
1643578940368,69.9713,60.65423,67.17618
1643578940622,70.02316,60.71882,67.23186
1643578940878,69.86491,60.71523,67.12
1643578941115,69.703964,60.70706,67.0049
1643578941362,69.50608,60.68345,66.85929
1643578941622,69.30759,60.657944,66.71269
1643578941881,69.10194,60.630352,66.560455
1643578942116,68.8816,60.560703,66.38533
1643578942363,68.658775,60.484386,66.20646
1643578942617,68.44932,60.442505,66.04727
1643578942872,68.24717,60.398838,65.89267
1643578943109,67.99323,60.310825,65.68851
1643578943355,67.74243,60.211212,65.48306
1643578943610,67.4906,60.11035,65.27653
1643578943871,67.26412,59.931976,65.064476
1643578944123,67.03894,59.753147,64.8532
1643578944367,66.988594,59.56917,64.762764
1643578944621,66.94567,59.41177,64.6855
1643578944876,67.005646,59.21824,64.66942
1643578945117,67.06661,59.024647,64.65402
1643578945361,67.18258,58.974598,64.720184
1643578945611,67.29791,58.923004,64.785446
1643578945866,67.41143,58.867977,64.8484
1643578946105,67.528145,58.839485,64.92155
1643578946349,67.638565,58.807983,64.989395
1643578946603,67.728874,58.779095,65.04394
1643578946858,67.807816,58.748856,65.090126
1643578947078,67.898315,58.73011,65.14786
1643578947320,67.982635,58.69077,65.195076
1643578947570,68.06798,58.6517,65.243095
1643578947831,68.14982,58.675213,65.307434
1643578948053,68.23235,58.704967,65.37414
1643578948278,68.303314,58.827625,65.46061
1643578948532,68.38243,58.948536,65.55226
1643578948787,68.224075,59.00785,65.459206
1643578949022,68.060135,59.077255,65.36527
1643578949254,67.895256,59.15696,65.27377
1643578949501,67.72926,59.297985,65.19988
1643578949756,67.56306,59.441696,65.12665
1643578949999,67.468864,59.6059,65.10997
1643578950238,67.37485,59.773808,65.094536
1643578950488,67.30213,59.99329,65.10948
1643578950747,67.237335,60.21696,65.131226
1643578950992,67.17384,60.440342,65.15379
1643578951229,67.11984,60.652756,65.17972
1643578951477,67.063934,60.863895,65.20392
1643578951706,66.97742,61.002804,65.18503
1643578951947,66.88951,61.147152,65.16681
1643578952190,66.79295,61.29677,65.1441
1643578952443,66.68053,61.431393,65.10579
1643578952696,66.569695,61.565876,65.06855
1643578952935,66.44885,61.652817,65.01004
1643578953160,66.33128,61.737053,64.95301
1643578953406,66.33574,61.830315,64.984116
1643578953661,66.34127,61.925003,65.01639
1643578953917,66.2725,61.95762,64.978035
1643578954163,66.20621,61.989803,64.941284
1643578954419,66.14059,62.024048,64.905624
1643578954666,66.01649,62.037243,64.822716
1643578954920,65.89368,62.050655,64.74077
1643578955157,65.78111,61.972294,64.638466
1643578955404,65.66927,61.893826,64.53664
1643578955659,65.62124,61.82263,64.48166
1643578955913,65.567856,61.743687,64.42061
1643578956151,65.51709,61.66219,64.36062
1643578956402,65.4691,61.68834,64.33487
1643578956664,65.421646,61.715794,64.30989
1643578956919,65.30359,61.796124,64.25135
1643578957155,65.18843,61.873386,64.19392
1643578957401,65.095856,62.02751,64.175354
1643578957650,65.00436,62.18062,64.157234
1643578957905,64.9049,62.297752,64.12276
1643578958154,64.80974,62.426975,64.09491
1643578958404,64.715324,62.55484,64.067184
1643578958653,64.53397,62.708286,63.986267
1643578958907,64.35369,62.859955,63.90557
1643578959136,64.19776,62.990505,63.835583
1643578959382,64.04168,63.121002,63.765476
1643578959640,63.905186,63.220528,63.69979
1643578959899,63.761158,63.303226,63.62378
1643578960156,63.619675,63.383583,63.548847
1643578960411,63.283268,63.15614,63.24513
1643578960667,62.948162,62.926746,62.94174
1643578960922,62.69692,62.453987,62.62404
1643578961181,62.445625,61.978825,62.305588
1643578961438,62.20006,61.50198,61.99064
1643578961695,61.94144,61.070747,61.680233
1643578961948,61.68336,60.638283,61.36984
